run,rerun,camcol,field,obj,rowc,colc
94,301,6,490,159,1178.977,1981.557
94,301,6,275,319,237.721,1883.658
94,301,6,275,330,296.8882,1943.604
94,301,6,493,114,1294.249,1960.097
94,301,6,531,339,417.513,1979.109
94,301,6,497,321,296.3791,1981.715
94,301,6,498,519,908.6711,1968.086
94,301,6,536,469,1076.628,1969.758
94,301,6,502,384,1441.322,1980.134
94,301,6,544,340,380.9974,1964.657
94,301,6,509,247,163.2892,1978.568
94,301,6,510,354,559.7751,1969.601
94,301,6,526,288,150.1013,1972.623
109,301,1,14,326,1404.373,1241.422
109,301,1,174,474,399.8503,1605.349
109,301,1,175,382,526.1924,682.0527
109,301,1,175,393,570.3732,1696.25
109,301,1,175,399,612.5142,418.2257
109,301,1,175,553,1397.504,74.19127
109,301,1,175,556,1410.375,196.3797
109,301,1,175,557,1415.077,318.1721
109,301,1,176,90,1019.94,787.0753
109,301,1,176,727,293.2201,547.3794
109,301,1,177,382,1024.22,1417.741
109,301,1,177,542,936.5401,188.9202
109,301,1,177,546,940.549,1469.008
109,301,1,178,495,1154.072,1760.34
109,301,1,178,499,1213.037,1591.634
109,301,1,178,690,1020.137,1623.736
109,301,1,179,299,931.3237,1722.684
109,301,1,180,462,414.9951,598.3555
109,301,1,180,471,513.0246,1777.98
109,301,1,180,839,997.21,1196.012
109,301,1,181,360,787.4489,594.7245
109,301,1,181,602,1111.679,921.5001
109,301,1,181,608,1168.611,101.2704
94,301,6,501,417,970.2816,1964.839
109,301,1,182,411,1359.254,277.2949
109,301,1,182,585,1152.072,840.7899
109,301,1,182,591,1198.965,451.788
109,301,1,182,603,1320.461,1327.104
109,301,1,184,322,1239.814,1295.958
109,301,1,184,512,493.2961,343.3817
109,301,1,184,687,464.2002,1249.564
109,301,1,185,560,664.9467,1061.524
109,301,1,185,564,705.7595,749.3871
109,301,1,185,566,719.5241,427.8602
94,301,6,505,3,120.8978,1953.518
109,301,1,186,237,1382.419,880.4873
109,301,1,186,393,327.1068,1469.046
109,301,1,186,396,382.2969,209.6552
109,301,1,186,404,570.3733,698.9174
109,301,1,186,554,618.4409,1091.774
109,301,1,186,565,717.2111,1366.777
94,301,6,507,431,965.5338,1955.829
109,301,1,187,397,294.2437,1029.222
109,301,1,187,407,453.3168,343.2028
109,301,1,188,197,1437.429,210.9321
109,301,1,188,390,551.5424,1255.817
109,301,1,188,391,550.555,1478.797
109,301,1,188,580,1239.63,1338.999
109,301,1,188,590,1415.84,370.1655
109,301,1,188,595,1416.448,1202.437
94,301,6,508,368,794.8277,1958.99
109,301,1,190,334,1292.259,740.8165
109,301,1,190,515,1231.101,792.5883
109,301,1,190,524,1275.471,320.9686
109,301,1,191,256,943.5676,1547.575
109,301,1,191,410,766.6152,1035.778
109,301,1,191,416,771.061,605.2659
109,301,1,191,428,873.2623,911.4271
109,301,1,192,162,193.8333,844.4764
109,301,1,192,330,405.3862,688.082
109,301,1,192,335,456.3088,1586.615
109,301,1,192,339,528.6036,1609.847
109,301,1,193,17,575.3684,981.1724
109,301,1,193,181,1423.256,1165.898
109,301,1,193,182,1412.923,1202.815
109,301,1,193,201,371.7573,1487.217
109,301,1,193,367,141.5666,335.4528
109,301,1,193,689,467.3778,941.4641
109,301,1,193,878,270.7004,1330.067
109,301,1,194,43,479.9508,818.7474
109,301,1,194,200,646.3571,1373.191
109,301,1,194,512,393.6928,1065.082
109,301,1,194,513,393.2784,1378.958
109,301,1,194,529,465.9217,1178.84
109,301,1,194,1130,1177.042,564.6006
109,301,1,173,323,841.9319,1440.165
109,301,1,173,326,874.7805,282.0198
109,301,1,173,330,886.1332,210.6235
109,301,1,174,566,1183.516,1425.812
109,301,1,174,575,1235.206,1403.452
109,301,1,174,585,1315.842,728.1866
109,301,1,195,498,250.8961,88.50262
109,301,1,195,500,278.8829,685.9544
109,301,1,195,508,305.8915,730.1709
109,301,1,175,112,396.9098,98.54958
109,301,1,175,289,1134.827,348.1053
109,301,1,175,302,1407.044,1103.919
